GLD,Date,USO_prev,SLV_prev,EURUSD=X_prev,^GSPC_prev,sentiment_prev
102.2699966430664,2015-12-28,,,,,
102.1999969482422,2015-12-29,87.44000244140625,13.289999961853027,1.0965994596481323,2056.5,positive
101.41999816894533,2015-12-30,90.08000183105467,13.270000457763672,1.0975261926651,2078.360107421875,positive
101.45999908447266,2015-12-31,87.44000244140625,13.210000038146973,1.0928006172180176,2063.360107421875,positive
102.88999938964844,2016-01-04,88.0,13.1899995803833,1.093398094177246,2043.93994140625,positive
103.18000030517578,2016-01-05,87.83999633789062,13.1899995803833,1.085399150848389,2012.6600341796875,positive
104.66999816894533,2016-01-06,85.27999877929688,13.3100004196167,1.0827549695968628,2016.7099609375,positive
106.1500015258789,2016-01-07,80.87999725341797,13.359999656677246,1.0751993656158447,1990.260009765625,positive
105.68000030517578,2016-01-08,79.19999694824219,13.619999885559082,1.0778998136520386,1943.0899658203125,negative
104.73999786376952,2016-01-11,78.4000015258789,13.300000190734863,1.0925976037979126,1922.030029296875,negative
104.20999908447266,2016-01-12,74.0,13.220000267028809,1.0941038131713867,1923.6700439453125,negative
104.72000122070312,2016-01-13,73.36000061035156,13.170000076293944,1.0857999324798584,1938.6800537109373,negative
103.0199966430664,2016-01-14,72.72000122070312,13.489999771118164,1.0843987464904783,1890.280029296875,negative
104.08000183105467,2016-01-15,73.83999633789062,13.1899995803833,1.0886012315750122,1921.8399658203125,negative
103.9800033569336,2016-01-19,70.31999969482422,13.239999771118164,1.085894227027893,1880.3299560546875,positive
105.37000274658205,2016-01-20,67.91999816894531,13.359999656677246,1.0895025730133057,1881.3299560546875,positive
105.48999786376952,2016-01-21,65.91999816894531,13.479999542236328,1.09129798412323,1859.3299560546875,positive
105.0,2016-01-22,68.4800033569336,13.460000038146973,1.0877013206481934,1868.989990234375,positive
106.08000183105467,2016-01-25,74.16000366210938,13.380000114440918,1.0862009525299072,1906.9000244140625,positive
107.29000091552734,2016-01-26,68.31999969482422,13.579999923706056,1.079901933670044,1877.0799560546875,positive
107.69000244140624,2016-01-27,71.76000213623047,13.81999969482422,1.0853049755096436,1903.6300048828125,positive
106.54000091552734,2016-01-28,73.44000244140625,13.8100004196167,1.086495876312256,1882.949951171875,positive
106.9499969482422,2016-01-29,77.5999984741211,13.56999969482422,1.090798020362854,1893.3599853515625,positive
108.0500030517578,2016-02-01,77.19999694824219,13.59000015258789,1.0936970710754397,1940.239990234375,negative
108.08999633789062,2016-02-02,72.16000366210938,13.670000076293944,1.0825908184051514,1939.3800048828125,positive
109.25,2016-02-03,68.55999755859375,13.619999885559082,1.0897282361984253,1903.030029296875,positive
110.56999969482422,2016-02-04,74.72000122070312,13.949999809265137,1.0922038555145264,1912.530029296875,positive
112.31999969482422,2016-02-05,72.95999908447266,14.170000076293944,1.1091023683547974,1915.449951171875,negative
113.83000183105467,2016-02-08,71.27999877929688,14.34000015258789,1.119996428489685,1880.050048828125,negative
113.58000183105467,2016-02-09,69.12000274658203,14.59000015258789,1.114504098892212,1853.43994140625,negative
114.45999908447266,2016-02-10,65.44000244140625,14.510000228881836,1.1189812421798706,1852.2099609375,negative
119.05999755859376,2016-02-11,63.68000030517578,14.550000190734863,1.1289994716644287,1851.8599853515625,negative
118.36000061035156,2016-02-12,63.91999816894531,14.949999809265137,1.128095269203186,1829.0799560546875,negative
114.7699966430664,2016-02-16,66.63999938964844,14.989999771118164,1.1317979097366333,1864.780029296875,positive
115.4800033569336,2016-02-17,66.4800033569336,14.510000228881836,1.1174057722091677,1895.5799560546875,negative
118.29000091552734,2016-02-18,70.23999786376953,14.539999961853027,1.1147029399871826,1926.8199462890625,negative
117.58000183105467,2016-02-19,69.27999877929688,14.760000228881836,1.112297534942627,1917.8299560546875,positive
115.48999786376952,2016-02-22,68.4000015258789,14.640000343322754,1.1110987663269043,1917.780029296875,positive
117.22000122070312,2016-02-23,71.27999877929688,14.43000030517578,1.1123965978622437,1945.5,negative
117.61000061035156,2016-02-24,67.83999633789062,14.539999961853027,1.102803349494934,1921.27001953125,negative
117.91999816894533,2016-02-25,68.72000122070312,14.520000457763672,1.1027060747146606,1929.800048828125,neutral
117.11000061035156,2016-02-26,70.4000015258789,14.40999984741211,1.1013944149017334,1951.699951171875,neutral
118.63999938964844,2016-02-29,70.23999786376953,14.020000457763672,1.1024993658065796,1948.050048828125,positive
117.7699966430664,2016-03-01,72.0,14.199999809265137,1.0923947095870972,1932.22998046875,negative
118.68000030517578,2016-03-02,73.19999694824219,14.170000076293944,1.0888975858688354,1978.3499755859373,positive
120.7300033569336,2016-03-03,74.4000015258789,14.25,1.0875948667526243,1986.449951171875,positive
120.54000091552734,2016-03-04,74.0,14.5,1.086897373199463,1993.4000244140625,positive
121.13999938964844,2016-03-07,77.19999694824219,14.760000228881836,1.094894528388977,1999.989990234375,positive
120.58000183105467,2016-03-08,80.87999725341797,14.899999618530272,1.0993964672088623,2001.760009765625,negative
119.58000183105467,2016-03-09,77.19999694824219,14.619999885559082,1.1016006469726562,1979.260009765625,negative
121.5,2016-03-10,81.19999694824219,14.529999732971191,1.1004005670547483,1989.260009765625,positive
119.41000366210938,2016-03-11,80.31999969482422,14.81999969482422,1.0989010334014893,1989.5699462890625,positive
117.87000274658205,2016-03-14,81.5199966430664,14.720000267028809,1.1178430318832395,2022.18994140625,positive
117.95999908447266,2016-03-15,79.04000091552734,14.579999923706056,1.1167943477630615,2019.6400146484373,positive
120.58999633789062,2016-03-16,77.5999984741211,14.539999961853027,1.1101982593536377,2015.9300537109373,positive
