Date,Gold_Price,Crude_Oil,Inflation,Interest_Rate,USD_EUR,USD_JPY,SLV,^GSPC
2023-05-05,187.4600067138672,75.47,303.316,5.06,1.1026,134.85,23.56999969482422,4136.25
2023-05-08,187.69000244140625,75.47,303.316,5.06,1.102,134.83,23.489999771118164,4138.1201171875
2023-05-09,189.0200042724609,75.47,303.316,5.06,1.0953,135.15,23.479999542236328,4119.169921875
2023-05-10,188.75,75.47,303.316,5.06,1.0966,134.52,23.309999465942383,4137.64013671875
2023-05-11,187.1300048828125,75.47,303.316,5.06,1.0916,134.46,22.200000762939453,4130.6201171875
2023-05-12,186.80999755859372,75.47,303.316,5.06,1.0856,135.63,22.020000457763672,4124.080078125
2023-05-15,187.2100067138672,75.47,303.316,5.06,1.0874,136.07,22.100000381469727,4136.27978515625
2023-05-16,184.8699951171875,75.47,303.316,5.06,1.0866,136.62,21.809999465942383,4109.89990234375
2023-05-17,184.22999572753903,75.47,303.316,5.06,1.083,137.51,21.81999969482422,4158.77001953125
2023-05-18,181.83999633789065,75.47,303.316,5.06,1.0776,138.5,21.559999465942383,4198.0498046875
2023-05-19,183.63999938964844,75.47,303.316,5.06,1.0819,137.67,21.860000610351562,4191.97998046875
2023-05-22,183.2100067138672,75.47,303.316,5.06,1.0806,138.65,21.670000076293945,4192.6298828125
2023-05-23,183.42999267578125,75.47,303.316,5.06,1.0771,138.74,21.510000228881836,4145.580078125
2023-05-24,181.9499969482422,75.47,303.316,5.06,1.0758,139.14,21.15999984741211,4115.240234375
2023-05-25,180.1999969482422,75.47,303.316,5.06,1.0725,139.81,20.860000610351562,4151.27978515625
2023-05-26,180.9199981689453,75.47,303.316,5.06,1.0713,140.53,21.3799991607666,4205.4501953125
2023-05-30,182.0399932861328,75.47,303.316,5.06,1.0722,139.83,21.299999237060547,4205.52001953125
2023-05-31,182.32000732421875,75.47,303.316,5.06,1.0654,139.78,21.610000610351562,4179.830078125
2023-06-01,183.75999450683597,74.84,304.099,5.08,1.0752,138.74,21.950000762939453,4221.02001953125
2023-06-02,181.0500030517578,74.84,304.099,5.08,1.0724,139.76,21.690000534057617,4282.3701171875
2023-06-05,182.13999938964844,74.84,304.099,5.08,1.0721,139.64,21.639999389648438,4273.7900390625
2023-06-06,182.33999633789065,74.84,304.099,5.08,1.0695,139.67,21.649999618530273,4283.85009765625
2023-06-07,180.1499938964844,74.84,304.099,5.08,1.0702,139.98,21.510000228881836,4267.52001953125
2023-06-08,182.52999877929688,74.84,304.099,5.08,1.078,138.83,22.299999237060547,4293.93017578125
2023-06-09,182.0399932861328,74.84,304.099,5.08,1.0749,139.35,22.270000457763672,4298.85986328125
