Date,Gold_Price,Crude_Oil,Inflation,Interest_Rate,USD_EUR,SLV,^GSPC,sent_enc,increase_ind
2023-01-03,0.030398111504357395,0.43504531722054374,0.0,0.0,0.23476297968397408,0.27361316167767724,0.007028308789862936,2,0
2023-01-04,0.04845756995166817,0.43504531722054374,0.0,0.0,0.3036117381489851,0.26161917025474124,0.019661057056614917,2,1
2023-01-05,0.024340979444877897,0.43504531722054374,0.0,0.0,0.19300225733634413,0.22413791131315108,0.0,2,-1
2023-01-06,0.06012339851167314,0.43504531722054374,0.0,0.0,0.3024830699774279,0.26386809726391247,0.03811284148258698,2,1
2023-01-09,0.06449804143202265,0.43504531722054374,0.0,0.0,0.4604966139954878,0.250374821168195,0.036802689155314816,0,1
2023-01-10,0.07167694702332916,0.43504531722054374,0.0,0.0,0.4356659142212218,0.24962517883180457,0.048703604967517244,0,1
2023-01-11,0.07033078455341485,0.43504531722054374,0.0,0.0,0.43905191873589167,0.23613190273608708,0.07077036999634567,0,-1
2023-01-12,0.0929892748591622,0.43504531722054374,0.0,0.0,0.5327313769751714,0.2608695279183505,0.07671200226620922,0,1
2023-01-13,0.11676936753812633,0.43504531722054374,0.0,0.0,0.5191873589164786,0.29460271815764394,0.08368789212569228,1,1
2023-01-17,0.10364543877707866,0.43504531722054374,0.0,0.0,0.4988713318284408,0.2706147353117716,0.0801298235043918,2,-1
2023-01-18,0.0979248045454249,0.43504531722054374,0.0,0.0,0.5372460496613993,0.23763118740886824,0.052914556715571104,2,-1
2023-01-19,0.12944468958160965,0.43504531722054374,0.0,0.0,0.5180586907449201,0.26686652362981855,0.03976478663141825,2,1
2023-01-20,0.12271439070786738,0.43504531722054374,0.0,0.0,0.5417607223476304,0.27136437764816157,0.07208490839738413,2,-1
2023-01-23,0.12652831802091363,0.43504531722054374,0.0,0.0,0.5801354401805889,0.23838082974525832,0.09276695784491029,1,1
2023-01-24,0.1338193325019591,0.43504531722054374,0.0,0.0,0.589164785553048,0.25187410584097647,0.09151371749919324,1,1
2023-01-25,0.1431295051085713,0.43504531722054374,0.0,0.0,0.6207674943566617,0.26761616596620896,0.09119385504646682,1,1
2023-01-26,0.1247335488334343,0.43504531722054374,0.0,0.0,0.5812641083521446,0.2691154506389901,0.11056575216672027,1,-1
2023-01-27,0.12192928616247689,0.43504531722054374,0.0,0.0,0.571106094808127,0.24587711012950775,0.11500456579581364,1,-1
2023-01-30,0.11676936753812633,0.43504531722054374,0.0,0.0,0.5823927765237031,0.24437782545672704,0.0918730546158184,1,-1
2023-01-31,0.12406055317778214,0.43504531722054374,0.0,0.0,0.5722347629796853,0.25712145921605345,0.11765118689295662,1,1
2023-02-01,0.14941102610613832,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.6388261851015795,0.2758620886868488,0.13632195407502634,1,1
2023-02-02,0.10712269710368816,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.6399548532731381,0.23763118740886824,0.16285363522072882,1,-1
2023-02-03,0.057319135840715685,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.5349887133182853,0.1626686695256876,0.14388932202853122,1,-1
2023-02-06,0.061357280933238945,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.41873589164785674,0.1559220314778289,0.13275960635736794,0,1
2023-02-07,0.06315187896210789,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.39954853273137747,0.14842575109357947,0.1559480295189185,0,1
2023-02-08,0.06797529975863215,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.4322799097065466,0.1559220314778289,0.13573036900359536,0,1
2023-02-09,0.05249571504419143,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.4627539503386018,0.13343333330473706,0.11979822349035607,0,-1
2023-02-10,0.05619736230888839,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.3600451467268617,0.1379310443434243,0.12372429439840604,1,1
2023-02-13,0.04632630293636292,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.4142212189616259,0.1349326179775182,0.14424427307138987,2,-1
2023-02-14,0.047784574296016125,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.41873589164785674,0.12893562226604993,0.14373591642411332,2,1
2023-02-15,0.028491233427139606,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.3747178329571115,0.11169413448838017,0.1487619290508706,2,-1
2023-02-16,0.026920853177747894,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.3758465011286687,0.10794606578608335,0.1237023640295738,1,-1
2023-02-17,0.03264148740940159,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.36907449209932475,0.12068969954541042,0.11874224948672252,1,1
2023-02-21,0.025462581818094687,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.34537246049661596,0.12518741058409733,0.0829210780584202,0,-1
2023-02-22,0.014694309010439666,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.30699774266365765,0.10119942773822466,0.0801649120945237,2,-1
2023-02-23,0.01368481552696138,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.26185101580135517,0.0922038626811944,0.08948499791608011,2,-1
2023-02-24,0.0,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.21896162528216712,0.051724177373697944,0.07095875721348666,2,-1
2023-02-27,0.007403123370783915,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.2765237020316038,0.0397301859507615,0.07630452531556198,1,1
2023-02-28,0.016040300321743917,0.43957703927492453,0.05948562430745907,0.2400000000000002,0.28329571106094886,0.06146924178746249,0.07100689704750918,2,1
2023-03-01,0.0270329620674864,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.36455981941309257,0.06671673814219647,0.06278664596725114,2,1
2023-03-02,0.025911359694269498,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.2753950338600468,0.06296852646024376,0.07591459265998046,2,-1
2023-03-03,0.046438582984711874,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.2990970654627556,0.08620686696972601,0.10408506073321444,2,1
2023-03-06,0.03667963250192474,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.38713318284424325,0.06896552217171203,0.10530321248879959,1,-1
2023-03-07,0.0030284804504346896,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.25056433408577794,0.0037482116819522737,0.078114262142578,1,-1
2023-03-08,0.002131095856695131,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.22347629796839685,0.0,0.08058554726647038,1,-1
2023-03-09,0.02075144106991933,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.25507900677201034,0.0029985693455616413,0.04829612801686989,1,1
2023-03-10,0.0619179965405422,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.34762979683973017,0.03448283257568341,0.023438215411422214,2,1
2023-03-13,0.10667409038612347,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.4311512415349881,0.11994005720901968,0.020883594885966472,0,1
2023-03-14,0.09512054187446745,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.41873589164785674,0.11169413448838017,0.048721149262583086,0,-1
2023-03-15,0.11060012658890822,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.20767494356659255,0.11994005720901968,0.03673251197505134,0,1
2023-03-16,0.11463827168143143,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.30586907449210066,0.11394306149755151,0.06668212133634466,0,1
2023-03-17,0.1729669010056249,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.33408577878103873,0.16716638056437472,0.04755990948855382,0,1
2023-03-20,0.1737520055510164,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.41873589164785674,0.17166423458271785,0.0628655952950481,2,1
2023-03-21,0.13482882598543716,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.4717832957110608,0.16041988549617192,0.08534422334829017,2,-1
2023-03-22,0.1692652537409282,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.49774266365688513,0.2023988554764493,0.05646813228569658,2,1
2023-03-24,0.1716207385357112,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.4638826185101601,0.21139427755382334,0.07137500631166727,0,1
2023-03-27,0.15255178660492164,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.49435665914221283,0.21139427755382334,0.07424071714231684,0,-1
2023-03-28,0.1692652537409282,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.5564334085778786,0.22713648065871272,0.07149770939971978,1,1
2023-03-29,0.1590576965405764,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.5361173814898437,0.22788612299510347,0.09627239358101325,1,-1
2023-03-30,0.17756576170545185,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.6185101580135446,0.2653673819366936,0.10635929346984241,1,1
2023-03-31,0.1667974888977966,0.23011077542799585,0.06922493730681545,0.3200000000000003,0.5880361173814896,0.2788606580324111,0.1319840201425625,1,-1
2023-04-03,0.18160390679797506,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.6094808126410831,0.274362804014068,0.13864421966826745,2,1
2023-04-04,0.22019058853572765,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.6772009029345383,0.3425786838493893,0.1281674941012656,2,1
2023-04-05,0.2185080993965975,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.6399548532731381,0.34032989981987427,0.12368920580827436,2,-1
2023-04-06,0.2034772925583322,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.6501128668171556,0.33658168813792155,0.13010421311269182,2,-1
2023-04-10,0.18799770784389142,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.5519187358916506,0.3358320458015308,0.13189629866723263,1,-1
2023-04-11,0.2011216366049388,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.6264108352144482,0.34782618020412337,0.13182184239061157,2,1
2023-04-12,0.21132919380529064,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.717832957110611,0.3770615164250737,0.12437717752515876,2,1
2023-04-13,0.23970831834269185,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.7934537246049669,0.40029985693455594,0.14815729273554912,2,1
2023-04-14,0.20201902119867904,0.5427995971802613,0.14008281332011308,0.5000000000000009,0.7099322799097076,0.36806595136804343,0.1443976786758081,2,-1
